"date","county","state","fips","cases","deaths","new_cases","week_sum"
2020-04-17,"Bristol","Massachusetts","25005",1659,75,54,573
2020-04-17,"Essex","Massachusetts","25009",4584,179,339,1914
2020-04-17,"Franklin","Massachusetts","25011",173,25,3,38
2020-04-17,"Hampden","Massachusetts","25013",2134,183,149,740
2020-04-17,"Hampshire","Massachusetts","25015",258,7,10,64
2020-04-17,"Middlesex","Massachusetts","25017",7744,294,538,3297
2020-04-17,"Norfolk","Massachusetts","25021",3499,197,157,1283
2020-04-17,"Plymouth","Massachusetts","25023",2577,104,111,900
2020-04-17,"Suffolk","Massachusetts","25025",7272,190,452,2738
2020-04-17,"Worcester","Massachusetts","25027",2765,92,262,1087
2020-04-18,"Barnstable","Massachusetts","25001",590,20,17,110
2020-04-18,"Berkshire","Massachusetts","25003",385,27,2,49
2020-04-18,"Bristol","Massachusetts","25005",1698,83,39,507
2020-04-18,"Essex","Massachusetts","25009",4914,194,330,2018
2020-04-18,"Franklin","Massachusetts","25011",177,25,4,39
2020-04-18,"Hampden","Massachusetts","25013",2254,202,120,709
2020-04-18,"Hampshire","Massachusetts","25015",306,7,48,102
2020-04-18,"Middlesex","Massachusetts","25017",8297,334,553,3425
2020-04-18,"Norfolk","Massachusetts","25021",3659,217,160,1264
2020-04-18,"Plymouth","Massachusetts","25023",2688,121,111,879
2020-04-18,"Suffolk","Massachusetts","25025",7696,214,424,2770
2020-04-18,"Worcester","Massachusetts","25027",2952,103,187,1130
2020-04-19,"Barnstable","Massachusetts","25001",632,21,42,131
2020-04-19,"Berkshire","Massachusetts","25003",387,29,2,37
2020-04-19,"Bristol","Massachusetts","25005",1731,87,33,404
2020-04-19,"Essex","Massachusetts","25009",5153,210,239,1983
2020-04-19,"Franklin","Massachusetts","25011",181,26,4,38
2020-04-19,"Hampden","Massachusetts","25013",2337,213,83,690
2020-04-19,"Hampshire","Massachusetts","25015",317,7,11,98
2020-04-19,"Middlesex","Massachusetts","25017",8737,372,440,3077
2020-04-19,"Norfolk","Massachusetts","25021",3789,246,130,1140
2020-04-19,"Plymouth","Massachusetts","25023",2832,130,144,808
2020-04-19,"Suffolk","Massachusetts","25025",8074,238,378,2715
2020-04-19,"Worcester","Massachusetts","25027",3069,114,117,1037
2020-04-20,"Barnstable","Massachusetts","25001",664,21,32,162
2020-04-20,"Berkshire","Massachusetts","25003",387,28,0,32
2020-04-20,"Bristol","Massachusetts","25005",1779,88,48,385
2020-04-20,"Essex","Massachusetts","25009",5296,225,143,1883
2020-04-20,"Franklin","Massachusetts","25011",187,26,6,39
2020-04-20,"Hampden","Massachusetts","25013",2438,224,101,744
2020-04-20,"Hampshire","Massachusetts","25015",332,9,15,108
2020-04-20,"Middlesex","Massachusetts","25017",9253,402,516,3270
2020-04-20,"Norfolk","Massachusetts","25021",3960,263,171,1122
2020-04-20,"Plymouth","Massachusetts","25023",2976,134,144,835
2020-04-20,"Suffolk","Massachusetts","25025",8314,263,240,2735
2020-04-20,"Worcester","Massachusetts","25027",3179,117,110,1051
2020-04-21,"Barnstable","Massachusetts","25001",672,22,8,158
2020-04-21,"Berkshire","Massachusetts","25003",404,29,17,44
2020-04-21,"Bristol","Massachusetts","25005",1852,96,73,417
2020-04-21,"Essex","Massachusetts","25009",5521,245,225,1927
2020-04-21,"Franklin","Massachusetts","25011",192,29,5,37
